recordnumber,projectname,cat2,forg,center,year,mode,rely,data,cplx,time,stor,virt,turn,acap,aexp,pcap,vexp,lexp,modp,tool,sced,equivphyskloc,act_effort
1,de,avionicsmonitoring,g,2,1979,semidetached,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,25.9,117.6
2,de,avionicsmonitoring,g,2,1979,semidetached,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,24.6,117.6
3,de,avionicsmonitoring,g,2,1979,semidetached,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,7.7,31.2
4,de,avionicsmonitoring,g,2,1979,semidetached,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,8.2,36.0
5,de,avionicsmonitoring,g,2,1979,semidetached,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,9.7,25.2
6,de,avionicsmonitoring,g,2,1979,semidetached,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,2.2,8.4
7,de,avionicsmonitoring,g,2,1979,semidetached,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,3.5,10.8
8,erb,avionicsmonitoring,g,2,1982,semidetached,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,66.6,352.8
9,gal,missionplanning,g,1,1980,semidetached,1.15,0.94,1.15,1.66,1.56,0.87,1.07,0.86,0.91,0.86,1.0,0.95,0.91,0.91,1.0,7.5,72.0
10,gal,missionplanning,g,1,1980,semidetached,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,0.82,0.7,1.0,0.95,1.0,1.0,1.0,20.0,72.0
11,gal,missionplanning,g,1,1984,semidetached,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,0.82,0.86,1.0,0.95,1.0,1.0,1.0,6.0,24.0
12,gal,missionplanning,g,1,1980,semidetached,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,0.82,0.7,1.0,0.95,1.0,1.0,1.0,100.0,360.0
13,gal,missionplanning,g,1,1985,semidetached,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,0.82,1.0,1.0,1.07,1.0,1.0,1.0,11.3,36.0
14,gal,missionplanning,g,1,1980,semidetached,1.0,0.94,1.15,1.0,1.0,1.15,0.87,0.86,0.91,0.86,1.1,1.14,1.0,1.0,1.0,100.0,215.0
15,gal,missionplanning,g,1,1983,semidetached,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,0.82,0.86,1.0,0.95,1.0,1.0,1.0,20.0,48.0
16,gal,missionplanning,g,1,1982,semidetached,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,1.0,1.0,1.0,1.14,1.0,1.0,1.0,100.0,360.0
17,gal,missionplanning,g,1,1980,semidetached,1.0,0.94,1.15,1.0,1.56,0.87,0.87,0.86,0.82,0.7,1.0,0.95,1.0,1.0,1.0,150.0,324.0
18,gal,missionplanning,g,1,1984,semidetached,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,0.91,0.86,1.0,0.95,1.0,1.0,1.0,31.5,60.0
19,gal,missionplanning,g,1,1983,semidetached,1.0,0.94,1.15,1.0,1.0,0.87,0.87,0.86,0.82,0.86,1.0,0.95,1.0,1.0,1.0,15.0,48.0
20,gal,missionplanning,g,1,1984,semidetached,1.0,0.94,1.15,1.0,1.56,0.87,0.87,0.86,0.91,1.0,1.0,0.95,1.0,1.0,1.0,32.5,60.0
21,X,avionicsmonitoring,g,2,1985,semidetached,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,19.7,60.0
22,X,avionicsmonitoring,g,2,1985,semidetached,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,66.6,300.0
23,X,simulation,g,2,1985,semidetached,1.15,0.94,1.15,1.0,1.0,0.87,0.87,1.0,1.0,1.0,1.0,0.95,0.91,1.0,1.08,29.5,120.0
